,LRP a,LRP b,gradCAM,Deep Taylor,SmoothGrad
Indiana_2020_july_1536-3584,1.1262425619153862,1.3683549547357143,0.6302967826094903,0.8767361450840375,0.14330320716738695
Indiana_2019_july_4864-5120,0.9385971060681593,1.1796469995862633,0.38933718069489387,0.4096943764386875,-0.009069136287894922
Indiana_2017_july_3072-5632,1.7915546784279304,2.255450380018763,0.9412688126851785,1.2370496974941367,0.3994784151611728
Indiana_2019_july_3328-5376,0.7413503290150872,1.023423085901984,0.29210540633192766,0.3260343393787055,0.001448513714270246
Indiana_2018_july_4096-3072,2.366589813394197,3.104713981148738,1.085639501700973,1.808716008742812,0.5442192325369373
Indiana_2017_july_768-6656,1.0656558543990042,1.4526099606303153,0.4927315500428009,0.6741059615300975,-0.009034401021071474
Indiana_2018_july_2560-1024,1.4118474582101361,1.8546856066009927,0.6716877204658444,0.8732050933971442,0.051171709948676
Indiana_2017_july_4608-1536,1.7208445312631941,2.2909178212465666,0.8936416617204102,1.1095850206609943,0.1897346255320674
Indiana_2017_july_2560-512,0.8952132247577003,1.1769821753536154,0.3729596823202808,0.5849877736980289,0.04208945087855326
Indiana_2020_july_5632-1280,1.98531726313654,2.8854659190892793,0.9545541446651031,1.4760165566553158,0.1943568661805617
Indiana_2020_july_4864-2560,2.2417794129943975,3.261039164366495,0.9524567153558215,1.464609622861901,0.19328057528024573
Indiana_2021_july_2560-4608,1.3189488779738927,1.8333345228144429,0.3701510460713319,0.4692562817351584,0.04174644205981702
Indiana_2019_july_5632-2816,2.0746664279860814,2.855204931352708,1.0347731499405683,1.4031598568057495,0.14876357337038632
Indiana_2017_july_4096-5632,1.042441343709122,1.3699777532815374,0.44162949371081806,0.567510203580249,0.09228947325395527
Indiana_2018_july_5376-3072,1.8415681028104636,2.405303467377489,1.0236074666018775,1.3459703170704769,0.4180514690384592
Indiana_2021_july_5632-4096,1.056571112180691,1.432341984141752,0.449767520709742,0.593063878602487,0.16722272860312593
Indiana_2018_july_1536-2560,1.4976315052880136,1.8629171512826026,0.5968886660948689,0.6119299245003013,-0.012536848369761707
Indiana_2017_july_5120-4096,1.200417026979294,1.5534294845129932,0.5867493497984432,0.6709773479121366,0.04452165465063527
Indiana_2018_july_4864-3584,2.0863857309120593,2.7950520532353034,0.9829856444171032,1.6321505447423799,0.19251909492685917
Indiana_2021_july_2048-256,1.0245724065522444,1.3930369141376733,0.3016882408276831,0.37183275833816454,0.03233428694483682
Indiana_2021_july_1536-5120,2.5611484713666,3.92583791056104,0.9401774362030382,1.3658160333201457,0.3610839940131102
Indiana_2019_july_1536-512,1.191046672210224,1.6203608310461939,0.49991042410844555,0.6889141139394753,-0.014829530335481683
Indiana_2018_july_3072-3072,2.5890864152008173,3.378616597714016,1.2534704073792047,1.945123511200814,0.18891828128868335
Indiana_2019_july_3840-5376,1.5029377354559836,1.9943468496504484,0.7486611639633611,1.0298831207134638,0.2978608745905564
Indiana_2017_july_3328-512,1.703293389864991,2.320363678735714,0.8215161444711705,1.3185855510064124,0.17127464592836963
Indiana_2019_july_5632-3584,1.2626514147700247,1.7583917898668209,0.6458809177898515,0.8619068997401915,0.09783092421922858
